City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
atyrau,40,KZ,1619332596,77,47.1167,51.8833,59.0,2.24
balikpapan,52,ID,1619332867,64,-1.2675,116.8289,85.6,7.0
maragogi,30,BR,1619332868,83,-9.0122,-35.2225,75.2,0.92
jinchang,82,CN,1619332868,19,38.4953,102.1739,62.94,10.8
gizo,14,SB,1619332868,69,-8.103,156.8419,84.43,4.12
san francisco,61,ML,1619332721,44,13.3034,-4.8956,85.77,13.04
glarus,87,CH,1619332869,19,47.0406,9.068,52.0,1.01
vao,100,NC,1619332869,73,-22.6667,167.4833,73.87,7.36
barcelos,40,PT,1619332870,94,41.5388,-8.6151,59.0,2.3
souillac,75,MU,1619332870,74,-20.5167,57.5167,80.6,14.97
basoko,100,CD,1619332871,84,1.2391,23.616,75.45,3.94
pochutla,57,MX,1619332871,81,15.7432,-96.4661,81.0,2.68
duma,90,CN,1619332871,88,34.7653,108.135,55.4,6.71
carahue,40,CL,1619332872,100,-38.7,-73.1667,41.0,0.87
goderich,100,CA,1619332872,87,43.7501,-81.7165,46.4,6.91
avila,100,ES,1619332873,87,40.5833,-5.0,48.0,8.3
dali,57,CN,1619332822,17,25.7,100.1833,82.8,8.77
puerto gaitan,40,ES,1619332873,77,36.5939,-6.233,62.6,16.11
mazatlan,1,MX,1619332874,77,23.2167,-106.4167,73.99,6.76
ribeira brava,40,ES,1619332874,94,42.7461,-8.4439,55.99,3.44
lafiagi,93,NG,1619332875,72,8.8667,5.4167,82.15,4.34
poso,48,ID,1619332875,68,-1.3959,120.7524,85.44,3.18
tres arroyos,0,IT,1619332876,52,46.3231,11.0969,53.01,2.3
kupang,80,ID,1619332876,60,-10.1667,123.5833,83.97,13.56
chipata,15,ZM,1619332877,62,-13.6333,32.65,72.88,5.46
auki,92,SB,1619332877,81,-8.7676,160.7034,80.19,1.59
namatanai,100,PG,1619332878,78,-3.6667,152.4333,81.93,7.94
nova vicosa,97,BR,1619332878,98,-5.5279,-46.7049,70.56,3.36
puerto del rosario,40,ES,1619332878,77,36.5939,-6.233,62.6,16.11
fengzhen,100,CN,1619332879,41,40.4394,113.1536,58.48,15.1
cam pha,0,AR,1619332879,100,-38.9838,-67.8222,46.4,6.13
takoradi,100,GH,1619332619,87,4.8845,-1.7554,74.44,7.81
perevolotskiy,93,RU,1619332880,49,51.8763,54.1938,50.79,19.13
mizur,90,RU,1619332880,76,42.8531,44.0531,53.6,4.47
banda aceh,100,IN,1619332881,7,25.4833,80.3333,99.7,13.44
susanville,40,US,1619332881,49,40.4163,-120.653,46.4,5.75
leshukonskoye,100,RU,1619332882,77,64.8989,45.7622,46.18,8.93
fort saint john,18,NL,1619332882,70,52.6517,6.3861,43.0,3.0
jacqueville,75,CI,1619332883,89,5.2052,-4.4146,78.8,8.05
negombo,40,LK,1619332733,66,7.2083,79.8358,89.6,8.05
asau,67,RO,1619332883,40,46.4333,26.4,50.0,3.58
traismauer,96,AT,1619332884,64,48.3519,15.7635,48.99,4.0
kaabong,100,UG,1619332884,61,3.4836,34.1492,73.58,9.84
obihiro,75,JP,1619332885,87,42.9172,143.2044,37.4,10.36
pointe-noire,40,CG,1619332886,94,-4.7761,11.8635,77.0,3.44
tsiroanomandidy,85,MG,1619332886,62,-18.7667,46.0333,75.31,6.93
zyryanka,93,RU,1619332887,67,65.75,150.85,23.77,6.13
mys shmidta,100,RU,1619332888,74,62.0589,48.6201,46.06,10.16
gazalkent,0,UZ,1619332888,16,41.5581,69.7708,80.6,4.61
wuzhou,99,CN,1619332889,84,23.4833,111.3167,71.76,7.11
gat,0,IL,1619332889,37,31.61,34.7642,73.99,1.99
kargopol,65,RU,1619332890,68,61.5071,38.9456,49.71,9.42
viransehir,47,TR,1619332890,27,37.2353,39.7631,79.7,11.34
kochkurovo,55,RU,1619332891,60,54.0358,45.4184,41.99,21.88
ruwi,0,OM,1619332892,32,23.5996,58.5507,96.8,4.61
soyo,20,AO,1619332892,88,-6.1349,12.3689,77.0,3.44
coahuayana,98,MX,1619332893,84,18.7333,-103.6833,70.39,3.0
sai buri,0,FR,1619332893,70,48.7442,0.0262,44.6,10.36
kazerun,100,IR,1619332894,11,29.6195,51.6541,89.33,4.29
yulara,0,AU,1619332894,20,-25.2406,130.9889,77.0,13.8
along,0,IN,1619332895,18,28.1667,94.7667,95.52,2.39
ahar,8,IR,1619332895,34,38.4774,47.0699,70.11,1.39
barkhan,0,PK,1619332896,17,29.8977,69.5256,85.87,12.88
gamba,39,GA,1619332896,77,-2.65,10.0,78.31,4.5
bonavista,4,CA,1619332897,93,48.6499,-53.1147,35.01,9.22
bushehr,100,IR,1619332897,35,28.9684,50.8385,87.8,11.5
catamarca,4,AR,1619332898,90,-28.4696,-65.7852,63.0,7.54
bayangol,100,RU,1619332898,70,50.6977,103.4656,39.02,5.41
chingola,39,ZM,1619332899,64,-12.529,27.8838,69.69,8.19
bandarbeyla,20,SO,1619332899,63,9.4942,50.8122,86.13,8.03
denia,100,ES,1619332899,88,38.8408,0.1057,60.01,8.99
basco,13,PH,1619332900,71,20.4487,121.9702,76.21,11.48
hinton,100,CA,1619332901,35,53.4001,-117.5857,35.6,11.5
dongsheng,100,CN,1619332901,73,39.8161,109.9776,48.49,20.85
vaitape,65,PF,1619332902,67,-16.5167,-151.75,80.33,2.59
ullapool,100,GB,1619332902,54,57.8987,-5.1604,46.99,5.99
shakhovskaya,100,RU,1619332903,69,56.0283,35.5097,34.18,17.58
port hedland,100,CD,1619332903,72,-7.0349,29.7638,76.17,0.58
teguise,20,ES,1619332904,82,29.0605,-13.564,60.8,5.75
matadi,92,CD,1619332904,87,-5.8167,13.45,78.76,1.52
oneonta,100,US,1619332905,71,42.4529,-75.0638,48.0,0.98
tura,0,IN,1619332905,14,25.5198,90.2201,99.28,6.89
port macquarie,100,CD,1619332903,72,-7.0349,29.7638,76.17,0.58
ayan,100,RU,1619332906,68,56.45,138.1667,32.67,8.5
kalmunai,5,LK,1619332906,55,7.4167,81.8167,87.64,8.32
namangan,55,UZ,1619332907,22,40.9983,71.6726,75.2,4.61
sioux lookout,1,US,1619332907,33,42.7333,-96.2336,44.01,9.22
mvomero,75,TZ,1619332908,89,-6.25,38.6667,78.8,8.05
chokwe,2,MZ,1619332908,61,-24.5333,32.9833,74.53,3.04
sistranda,40,NO,1619332909,93,63.7256,8.834,33.8,2.3
portland,97,US,1619332036,81,45.5234,-122.6762,48.99,5.01
opuwo,3,NA,1619332909,43,-18.0607,13.84,72.48,5.01
adamas,95,GR,1619332910,77,36.7333,24.4333,60.8,24.16
bien hoa,22,IT,1619332910,81,45.5741,7.2127,51.01,2.86
brae,75,GB,1619332910,70,60.3964,-1.353,42.8,2.3
tibiri,0,NE,1619332911,50,13.5627,7.0485,80.6,4.61
cozumel,40,MX,1619332911,78,20.5083,-86.9458,78.8,6.91
naron,40,ES,1619332912,100,43.5167,-8.1528,57.99,4.61
farah,5,AF,1619332912,7,32.5,62.5,83.88,6.24
kudat,20,MY,1619332913,66,6.8837,116.8477,89.6,12.66
bereda,97,ES,1619332913,100,43.2686,-7.5406,55.0,4.0
andros town,92,GR,1619332914,77,37.8333,24.9333,57.99,15.99
praia,40,CV,1619332914,78,14.9215,-23.5087,69.8,12.66
jinzhou,100,CN,1619332915,15,41.1078,121.1417,66.2,9.75
yuanping,100,CN,1619332915,62,38.7153,112.7575,54.16,4.09
smithers,1,CA,1619332844,45,54.7804,-127.1743,39.2,2.3
korla,100,CN,1619332916,26,41.7597,86.1469,55.45,2.93
svetlyy,75,RU,1619332916,70,54.675,20.1347,41.0,13.42
mtambile,61,TZ,1619332917,80,-5.3833,39.7,80.74,10.47
strezhevoy,0,RU,1619332917,53,60.7333,77.5889,48.2,2.24
altus,1,US,1619332813,87,34.6381,-99.334,53.6,10.36
guasdualito,13,VE,1619332918,88,7.2424,-70.7324,75.2,3.44
belyy yar,100,RU,1619332918,55,55.8402,32.9419,37.81,12.35
mogadishu,75,SO,1619332919,62,2.0371,45.3438,87.8,8.05
santa maria,0,PH,1619332764,50,17.486,120.4348,86.68,11.34
cedar city,1,US,1619332920,70,41.2122,-92.5257,41.0,9.22
port augusta,100,CD,1619332903,72,-7.0349,29.7638,76.17,0.58
zharkent,76,KZ,1619332920,12,44.1628,80.0,59.4,3.4
bol,100,TD,1619332921,71,13.4586,14.7147,80.82,7.27
piacabucu,20,BR,1619332921,87,-10.4056,-36.4344,75.52,3.29
abu samrah,0,IN,1619332922,6,24.6,72.7,89.85,5.14
rundu,0,NA,1619332922,34,-17.9333,19.7667,69.69,6.35
kargasok,100,RU,1619332923,93,59.0556,80.8572,43.25,2.19
melo,16,UY,1619332923,96,-32.3667,-54.1833,57.24,7.81
tucumcari,1,US,1619332924,19,35.1717,-103.725,64.4,18.41
vestmanna,55,FO,1619332924,87,62.1564,-7.1664,42.8,7.56
gaozhou,96,CN,1619332925,63,21.9392,110.8461,85.71,10.2
touros,40,BR,1619332772,94,-5.1989,-35.4608,73.4,4.61
hovd,100,MN,1619332925,19,48.0056,91.6419,36.55,5.17
sorochinsk,19,RU,1619332926,46,52.4338,53.1583,50.95,21.3
tessalit,0,ML,1619332729,10,20.1986,1.0114,85.28,8.79
honningsvag,84,NO,1619332927,57,70.9821,25.9704,32.04,11.68
port loko,100,CD,1619332692,72,-7.0349,29.7638,76.17,0.58
san vicente,61,ML,1619332721,44,13.3034,-4.8956,85.77,13.04
usakos,4,NA,1619332928,35,-22.0,15.6,74.77,6.08
meulaboh,100,ID,1619332928,62,4.1363,96.1285,85.5,5.77
nelson bay,91,NZ,1619332911,69,-41.2833,173.2833,57.99,1.01
san rafael,61,ML,1619332761,44,13.3034,-4.8956,85.77,13.04
epe,100,NG,1619332929,80,6.5841,3.9834,82.51,6.91
kaeo,80,NZ,1619332930,69,-35.1,173.7833,57.99,5.99
tortoli,0,IT,1619332930,67,39.9256,9.6572,55.4,2.3
waingapu,20,ID,1619332931,65,-9.6567,120.2641,84.94,14.67
vila,94,PT,1619332766,89,42.0304,-8.1588,55.0,3.4
san quintin,61,ML,1619332721,44,13.3034,-4.8956,85.77,13.04
tutoia,100,BR,1619332932,88,-2.7619,-42.2744,77.49,9.42
pecos,1,US,1619332933,20,31.4229,-103.4932,63.0,6.91
tshela,100,CD,1619332933,89,-4.9833,12.9333,76.05,1.14
beringovskiy,100,RU,1619332934,89,63.05,179.3167,32.99,2.75
sayyan,8,YE,1619332935,25,15.1718,44.3244,69.67,7.09
vardo,100,NO,1619332935,70,70.3705,31.1107,35.37,22.35
umea,90,SE,1619332936,80,63.8284,20.2597,32.0,16.11
junin,0,AR,1619332937,48,-34.5838,-60.9433,46.0,6.91
mosquera,90,CO,1619332937,94,4.7059,-74.2302,57.2,2.3
toguchin,100,RU,1619332938,54,55.2353,84.3858,45.72,8.88
perth,0,AU,1619332747,42,-31.9333,115.8333,82.99,6.91
bure,48,ET,1619332938,38,10.7,37.0667,75.61,1.36
dabola,100,GN,1619332939,65,10.75,-11.1167,74.89,3.06
sobolevo,32,RU,1619332939,54,54.4299,31.8996,38.88,14.81
pendleton,90,US,1619332684,81,45.6721,-118.7886,48.2,16.11
